iteration: 22120, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22140, loss: 0.0026, scmap loss: 0.0023, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22160, loss: 0.0021, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22180, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22200, loss: 0.0021, scmap loss: 0.0018, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22220, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22240, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22260, loss: 0.0023, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22280, loss: 0.0021, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22300, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22320, loss: 0.0025, scmap loss: 0.0022, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22340, loss: 0.0023, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22360, loss: 0.0023, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22380, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22400, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22420, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22440, loss: 0.0025, scmap loss: 0.0022, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22460, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22480, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22500, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22520, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22540, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22560, loss: 0.0025, scmap loss: 0.0022, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22580, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22600, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22620, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22640, loss: 0.0021, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22660, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22680, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22700, loss: 0.0025, scmap loss: 0.0022, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22720, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22740, loss: 0.0026, scmap loss: 0.0023, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22760, loss: 0.0020, scmap loss: 0.0018, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22780, loss: 0.0023, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22800, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22820, loss: 0.0023, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22840, loss: 0.0023, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22860, loss: 0.0023, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22880, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22900, loss: 0.0023, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
